username,content,likes,retweets,replies
TimBeiko,"It's an understatement to say that a lot happened this week at 
@ethereumfndn
, and here are some of EF Research's updates and collabs.

Energised. In our lane. Scaling the blobs. lfg.",326,54,12
TimBeiko,ethereum will win.,462,25,18
TimBeiko,ethereum will win,2600,333,343
TimBeiko,"how do you want to celebrate 
@ethereum
’s 10 year anniversary on July 30?

and how can the 
@ethereumfndn
 help?",272,88,63
TimBeiko,"Good question! 

The main reason is because there's no incentive to run a PoS validator on a testnet: it costs money to run the node and you get worthless testnet coins in return. 

We therefore need some tweaks to ensure that the networks can run reliably... most of the time",65,11,12
TimBeiko,the turbulence from today's sepolia pectra fork has been resolved :),166,25,2
TimBeiko,"1/9  Ethereum's regular Thursday protocol development call: ACD Consensus #152
6 Mar 14:00 UTC (same ETH time, same ETH channel)

tl;dr: (how) do we save Holešky, how do we test Pectra features (devnet / shadowfork), Sepolia fork, & will this kerfuffle shift mainnet timing?",75,19,4
TimBeiko,"Post-PeerDAS, is there a use case for L2s to have a max blob count *per transaction* exceed, say, 10 blobs/txn? 

If so, what is it? Is there a higher value that is a reasonable maximum?",77,9,10
TimBeiko,"Fusaka 
@NethermindEth
 Team View

1. We aim to ship Fusaka in 2025. 
2. The Fusaka scope should be finalized ASAP so that we can proceed with scoping Glamsterdam.
3. PeerDAS is the most important feature of this fork and serves as the key readiness indicator.
4. We would like to",150,42,5
TimBeiko,"@NethermindEth
  proposal for Fusaka. Core EIPs: 
- EIP-7594: PeerDAS - Peer Data Availability Sampling
- EIP-7692: EOF EIPs (+ EIP-7873 TXCREATE Transaction) 
- EIP-7823: Set upper bounds for MODEXP 
- EIP-7883: ModExp Gas Cost Increase",83,16,3
TimBeiko,"While Holesky continues to not finalize, we setup an alternate devnet with similar specs to Holesky for staking pools/tooling to test on: 

https://pectra-devnet-7.ethpandaops.io

Please use the faucet or reach out if you need funds for testing! The devnet will be very short lived, more on ACD!",121,29,1
TimBeiko,"amazing news. ethereum is about to lower the storage burden of nodes by 80%, via expiring history

this will switch from the dark blue line to the light blue line in this chart

this will free up many years of runway for state growth",512,68,27
TimBeiko,Monday is here and we are starting the third week of Protocol Study Group. It's the last week of the intro but still soon enough to catch up and start learning with us. Join us at Office Hours at 3PM UTC,28,12,0
TimBeiko,"Pectra Testnet Update 

On Monday, Pectra activated on Holesky. An EL bug caused chain splits, resulting in a minority chain being valid, degrading the network health.

Holesky validators must take action ASAP, some Sepolia users must upgrade their client. All info below",453,94,27
TimBeiko,"Where can I follow the incident? 

Over the past couple days, I've been keeping a post-mortem updated here: https://github.com/ethereum/pm/blob/master/Pectra/holesky-postmortem.md#holesky-coordinated-slashings…

Any changes to Pectra's deployment on testnets or mainnet will be announced at",37,1,1
TimBeiko,"It's been a wild week! There will be a lots takeaways from this incident, but for now the focus remains on getting Holesky back to stability. We can debrief later.

Thank you to everyone who has stepped up, and stayed up!, to help fix things  

See you tomorrow at 15 UTC",45,2,0
TimBeiko,"To add to this, we're not doing this because this is something we can replicate on mainnet as disaster mitigation. At this point, everything we're doing for Holesky is *for science.* We haven't been able to test a massive slashing at this scale nor revive a chain from multiple",123,25,8
TimBeiko,If you are running a Holesky node with one of the bugged ELs we need you to update your EL to a fixed one right now. We need your validators to start proposing blocks and rely on their slashing protection to avoid being slashed. We need to get to about 75% to have a chance,59,19,2
TimBeiko,"RIG is the most exciting team at the core of EF research, and is hiring. If you are an exceptional person with a background in somewhere in the vicinity of economics or computer science & love solving the hardest interdisciplinary problems with the smartest people, go apply.",42,7,1
TimBeiko,Come help the EF continue building the Ethereum Ivory Tower,66,7,6
TimBeiko,"Jokes aside, RIG is an incredible team where you'll get to work with some brilliant colleagues, thinking through possible solutions to some of the hardest problems in blockchains, you should apply 

Here's more on their work: https://rig.ethereum.org",8,1,0
TimBeiko,"I have recently taken on my new role as team lead of the Robust Incentives Group (RIG) and I am truly excited to continue pushing Ethereum forward together with our incredible team: 
@_julianma
 @soispoke
 @weboftrees
 @davidecrapis
.

A quick note on what do at RIG and some of our",112,20,10
TimBeiko,"reminder that proof-of-stake validation (along w/ the rewards ""yield"") is _NOT_ risk-free",44,7,6
TimBeiko,"If you want to help and are deeply technicaly, then consider helping us make the Mainnet fork more secure by taking part in the Pectra bug hunting contest! (13/13)",32,4,2
TimBeiko,"Hat tip to 
@lodestar_eth
 @gnosischain
  and the Chiado testnet, they identified a bug on Lodestar before it affected us on Holesky. This helped reduce the amount of chaos and bugs to triage. (12/13)",37,7,2
TimBeiko,"The bug will give us an idea of how mainnet would ever perform in case such a scenario were to occur. Allowing us ample time to fix problems before they become critical. 
@ethPandaOps
 will be spending a lot of time analyzing the p2p layer performance specifically. (11/13)",31,2,1
TimBeiko,"The bug presents a great testing opportunity though! We now have a non-finalizing testnet, with a unique network and in need of recovery. This was basically part of the testing on the non-finality devnets in Nov: https://x.com/parithosh_j/status/1861915497563886042…

We now get to validate our results!(10/13)",42,4,1
TimBeiko,"What are the complications?

An invalid chain was justified (not finalized!),due to the majority client having the bug. The nw would need to leak or slash the clients that attested to the invalid chain.Our aim is to get the chain to finalize for now, tune in to ACD for more (9/x)",13,2,1
TimBeiko,"How does Holesky proceed?

We will discuss this on ACD, for now:
- Resync both EL and CL with updated client releases
- If you have a validator slashing db, delete it

We want the network to finalize from the chaos and that needs your help! (8/13)",28,6,3
TimBeiko,"Will this affect mainnet?

Nope, the bug was scoped to config issues on Holesky. There are learnings we can take forward, but it isn't a bug with a wide surface area. We may take some time to manually verify some things, but the problem seems fully explained. (7/13)",30,6,1
