username,content,likes,retweets,replies
lukebelmar,Ecom Society,932,53,60
lukebelmar,South African Safari,3400,130,272
lukebelmar,Bitcoin will rise again. Time to buy more,2600,161,246
lukebelmar,What are the top crypto cult communities?,2000,139,1400
lukebelmar,Buying more Bitcoin. Nothing else to buy anyways.,5400,358,714
lukebelmar,"You are what you do not what you say you will do.

Stop talking and start doing. You'll be surprised how quickly life changes for you.",3000,318,140
lukebelmar,"Focus on winning. Dont focus on your problems.

Most issues in life are solved with massive action.",4300,486,195
lukebelmar,What you aren't changing in life you are choosing,2300,232,157
lukebelmar,Some of these memes will rip 50% overnight. You're gonna hate selling the bottom.,2000,128,283
lukebelmar,Every dollar counts. Don't waste your money. You will need it to buy the dip!,3400,222,229
lukebelmar,If you are not learning / leveraging AI you will be left behind. The world is changing fast.,3600,338,278
lukebelmar,Wealth is a mindset,3900,450,293
lukebelmar,"If you're bearish now it's too late.... everything nuked +50%. You're not allowed to be bearish now. This is the time of max pain and time to accumulate winners.

Don't forget that soon you will wake up and your favorite alts will run 50% in a day.",3500,280,261
lukebelmar,"""The life that you live is the life that you chose"" 

LB",2400,258,107
lukebelmar,Winners Win. Losers Complain.,3100,341,211
lukebelmar,Istanbul sidequest,4400,77,163
lukebelmar,Saudi Arabia for Ramadan,3300,90,146
lukebelmar,Success is inevitable if you never quit!,6300,751,353
lukebelmar,We've come such a long way,8300,556,336
lukebelmar,"10 years ago I applied for a job at Chipotle and was told I didn't qualify 

I'm still offended",7500,269,399
lukebelmar,Wtf is this PI coin?,12000,1200,2400
lukebelmar,They are dumping our bags to make sure they can get some cheap Bitcoin. Hold the line!,4100,283,237
lukebelmar,24hrs in Istanbul. What is there to do here?,1300,47,318
lukebelmar,ALWAYS ZOOM OUT,1900,106,80
lukebelmar,Bullrun is back,4200,283,302
lukebelmar,Send $ETH back to $4000,4100,245,218
lukebelmar,$JUP back to $1 quickly,1300,57,75
lukebelmar,"BREAKING:  President Trump announces a ""Crypto Strategic Reserve that includes XRP, SOL, and ADA.""",32000,8300,1900
lukebelmar,Bullrun season is loading... were not done,4400,295,289
lukebelmar,Do what is hard and life will be easy,5200,667,274
lukebelmar,Ramadan Kareem to all my muslim friends,9800,430,319
lukebelmar,Robinhood stock looking great,1000,44,85
lukebelmar,The two most popular people in the world discussing memecoins,2600,189,119
lukebelmar,"Hey 
@Porsche
 ?",24000,1800,1100
lukebelmar,ChatGPT not holding back,5400,732,143
lukebelmar,Always zoom out $BTC,2600,166,164
lukebelmar,Portfolio down 25% in a month,2400,155,221
lukebelmar,Buy the blood. Even if it's your own.,4400,398,365
lukebelmar,"If you don't change, nothing changes.",4100,570,265
lukebelmar,1M girls have Only Fans. Hoeflation is real.,15000,1900,1100
lukebelmar,"Most of my video content is from 2023. However, I still average 300M views  per month

Content Distribution > Content Creation",813,32,96
lukebelmar,Crypto is the biggest 24/7 casino in the world,3000,223,255
lukebelmar,"Go hard while you are young. Set yourself up for success early,  you won't regret it.

Don't be the person who dies with regrets .",6200,683,257
lukebelmar,"High conviction truths + saying ridiculous stuff 

= Viral",1700,124,168
lukebelmar,Catching last snow before the summer bullrun,3000,79,229
lukebelmar,"Best ways to make money during 2025:

- digital service based business

- eCommerce (always and forever)

- rotate a part of your income into large cap cryptos (BTC, ETH, SOL,etc)

- short form content creation

- reduce corporate overhead by introducing AI tools

- buy more BTC",4400,409,459
lukebelmar,Always keep moving forward,2000,178,148
lukebelmar,GM,1700,42,372
lukebelmar,"Crypto isn't going anywhere. In 2025 we see Bitcoin reaching $150,000 USD",4500,295,370
lukebelmar,24hrs in Colombia,2400,77,182
lukebelmar,Take me back to more simple times,4000,250,292
lukebelmar,Presidents rugging memecoins in 60 minutes was not on my 2025 bucket list.,3700,215,301
lukebelmar,Good morning!,2200,110,274
lukebelmar,"A gmail account  
@JMilei
 check your email",507,26,73
lukebelmar,Need an official Messi coin to make up for Milei,2300,154,217
lukebelmar,"$3 top blast on Argentina coin. Pain

The only Argentina coin that can run is Messi",1100,39,137
lukebelmar,"The only political coins that would go up are Putin & Kim

It looks like the rest are destined to zero. These are the only other two meme level politicians 

No other politicians have the aura. 1hr pump in dumps at best. More loading...",1000,62,118
lukebelmar,I m,2100,161,147
lukebelmar,Max long https://x.com/JMilei/status//JMilei/status/1890521742961156552…,520,64,90
lukebelmar,Conspiracies on X = Recipe for Virality.,1100,72,112
lukebelmar,"Why did the owner of the Twin Towers get maximum insurance against terrorist attacks six weeks prior to 9/11? 

Why did the owner have breakfast in the towers every morning except for September 11th? 

Why was there an unidentified group of short sells purchased against airline",50000,7900,1700
lukebelmar,Nothing to flex until your mom is retired,10000,1500,383
lukebelmar,"Trump legitimized memecoin culture 

Soon you will see billion dollar Web2 companies launching their own token instead of listing on the stock exchange.

The most entertaining outcome is always the most likely.  Memecoins are here to stay.",2600,238,476
lukebelmar,"Welcome To Gem Hunters

Your Journey Is About To Begin",1600,136,512
lukebelmar,"Gem Hunters Link in Bio 

First Come. First Serve. Act Fast!",1000,50,409
lukebelmar,Sign ups breaking. Requests every second.,1000,54,382
lukebelmar,500k requests in 1 hour,2100,88,649
lukebelmar,Broke the internet  can't make this up,3100,115,772
lukebelmar,"Gem Hunters FREE sign up is live

Link in bio. First come. First serve.",1500,66,633
