username,content,likes,retweets,replies
_TJRTrades,TJR bull run,157,3,17
_TJRTrades,The fact that I’ve paid half of this amount is comedy drake and Ken need to get their numbers up https://x.com/WhopIO/status//WhopIO/status/1895972318234759672…,122,3,11
_TJRTrades,"We are actually the matrix attacking you me 
@brezscales
 and 
@twinuzis
 have been plotting this for 5 years now step 1 has already been done… get ready for step 2: you are the method",109,3,14
_TJRTrades,This unironically would solve the majority of the worlds problems,72,2,10
_TJRTrades,You should highkey be using ai to make the majority of your decisions. Humans make decisions based on emotions especially the retarded humans. Be smart make data drive  decisions,571,37,61
_TJRTrades,ChatGPT not holding back,5400,732,143
_TJRTrades,People who call me because they are bored need to find a new hobby,289,11,28
_TJRTrades,"The worst type of people are the ones who call you when it’s something they could easily text you about

Or the 2 minute long voice notes",542,22,25
_TJRTrades,Tjr coin coming soon (jk),155,8,34
_TJRTrades,When is this 10-20% bounce going to happen and can it happen right tf now,357,8,38
_TJRTrades,I drew this line out as a joke,301,6,41
_TJRTrades,Pls bull run so I can stable and get the fuck out,281,9,42
_TJRTrades,Fun fact it’s super easy to get on this list (obviously you need to have made the money) but you can literally just pay for your spot on there,114,3,9
_TJRTrades,Man this month has been bad,874,46,117
_TJRTrades,Bear cycle,319,17,81
_TJRTrades,Sold the hellcat,411,2,50
_TJRTrades,I think about this as well I do know at least as of last year so it’s probably way more now. I had 500+ people join my whop and from there create their own whop and out of those 500 people they cumulatively made 5 million dollars add that to what I’ve made and the people who have,40,1,6
_TJRTrades,Fuck I love this app.,282,9,42
_TJRTrades,If you still use google you are just retarded,188,6,23
_TJRTrades,I might do Ramadan,1200,36,148
_TJRTrades,More people will lose their jobs to laziness than to AI this year.,7400,627,349
_TJRTrades,Ending it all looks good here,643,24,56
_TJRTrades,Jesus fucking Christ bro,714,14,73
_TJRTrades,Just a joke lol I rented the hellcat I’m not mega retarded,119,1,25
_TJRTrades,Crypto is down so bad,1100,56,168
_TJRTrades,Just started,4900,454,767
_TJRTrades,Never let this happen to you it’s easy to say it won’t happen but I’ve let this happen to me in the past luckily it didn’t crush me or my businesses but you need to stand on shit when it comes to the females in your life and it’s going to be hard for them to understand cause they,171,9,6
_TJRTrades,"Dude starts business. Bussiness starts doing well

Dude gets girl. Starts getting alpha’d by girl taking to dinner 5 times a week etc.

Girl starts hovering texting all day & pesting

Dude stops focusing on business cater to women

Dude starts treating employees like shit to",2000,150,67
_TJRTrades,Bro thinks he’s best friends with Kanye,76,2,11
_TJRTrades,Lebron,31,0,8
_TJRTrades,This might be the Jews play to put Kanye in prison for what he’s been saying. Convince him to launch a meme coin convince him that you are on his team let him do it and then boom all your new friends sue him,280,8,36
_TJRTrades,Bull run,80,2,18
_TJRTrades,knew he was an opp from the jump,59,2,9
_TJRTrades,I can’t open this app in public,477,22,49
_TJRTrades,Bro the fact yall have aped the last ones is crazy to me the fact yall considering this too is retard level,75,4,25
_TJRTrades,for the most part I smart decisions with money if I do this don’t copy me this is not smart,103,1,16
_TJRTrades,I dropped my clothing brand today and I’m itching to post one of those “I made 100k today ask me anything” ecom kid posts when it’s only 100k revenue,544,4,43
_TJRTrades,Yes.,34000,3200,176
_TJRTrades,Bull run nigga,7400,582,115
_TJRTrades,I am Maria boss,28,2,8
_TJRTrades,No clue and prob won’t happen so,33,2,4
_TJRTrades,Carti kol deal just hit for $trim,37,7,5
_TJRTrades,MUSIC,128000,16000,2300
_TJRTrades,Give it up man,38,7,8
_TJRTrades,I am cutting and getting shredded wether you like it or not,93,2,23
_TJRTrades,Yooooo I highkey want a Porsche 918,427,10,64
_TJRTrades,"JUST IN: Elon Musk calls to audit US gold reserves at Fort Knox. 

""That gold is owned by the American public! We want to know if it's still there.""",15000,2100,883
_TJRTrades,Off the glass and in #TimDuncan,72000,3600,410
_TJRTrades,Don’t do it real estate is a whole other job in itself really try and invest in stuff that makes you money with literally 0 effort and I mean 0. I have a wealth manager for my investments and if I want to do real estate down the line I will have a full team,218,1,19
_TJRTrades,Anyone wanna summarize the hour long coffeezilla vid,256,2,59
_TJRTrades,"Guy in front of me at cava accidentally got charged for a $3 drink 

He is now waiting for the cashier to refund him the $3 drink 

And holding up everyone in line in the process

Imagine being pressed over $3",1200,32,215
_TJRTrades,Jesus Christ man we are done with this shit bro,177,3,38
_TJRTrades,My whole thought process on crypto has radically changed this cycle,642,16,79
_TJRTrades,A gay dating app outperformed Ethereum this cycle,9200,785,444
_TJRTrades,That doesn’t mean buy a super car and a date just,68,4,8
_TJRTrades,It’s crazy to me the amount of young entrepreneurs I meet that don’t have a single dollar invested… like bro,607,7,44
_TJRTrades,That’s it???,79,0,9
_TJRTrades,Prob Won’t find an 18 year old with any of these but yes I did get my Amex when I was 18 I think it was a clear or a blue one. Black Cards didn’t happen till much later,774,18,49
_TJRTrades,Only Porsche I like are 918s tbh gt3 and gt2s are cool but just aren’t unique,68,0,21
_TJRTrades,Got the Mansory all washed,2500,81,58
_TJRTrades,Everyone is making coins now,81,7,23
_TJRTrades,Can’t wait for the $libra kol list,285,12,48
_TJRTrades,Even though crime is legal this cycle I don’t think someone can escape this,52,2,11
_TJRTrades,"Really exceptional. 
@JeffBezos",17000,2200,224
_TJRTrades,Aight so I guess I can’t trade in the mansory for anything cause I’ll just lose all aura so only option is to ship the cullinan to Puerto Rico when I’m done in Miami,67,1,9
_TJRTrades,You still wearing your chin straps?,123,1,24
_TJRTrades,"*spends 300k on a RM just for it to be called an AP 

You never win",114,4,10
